zip,das_type
06278,EDAS
06279,DAS
06280,DAS
06281,EDAS
06282,EDAS
06330,DAS
06331,DAS
06333,DAS
06334,EDAS
06335,DAS
06336,EDAS
06339,DAS
06350,EDAS
06351,DAS
06353,DAS
06354,DAS
06355,DAS
06357,DAS
06359,EDAS
06360,DAS
06365,EDAS
06370,DAS
06371,DAS
06372,DAS
06373,EDAS
06374,DAS
06375,DAS
06376,DAS
06377,EDAS
06378,DAS
06383,DAS
06384,EDAS
06387,DAS
06388,DAS
06390,REMOTE
06401,DAS
06403,DAS
06404,DAS
06409,DAS
06412,DAS
06414,DAS
06415,DAS
06417,DAS
06419,DAS
06420,EDAS
06422,DAS
06423,DAS
06424,DAS
06426,DAS
06437,DAS
06438,DAS
06439,DAS
06440,DAS
06441,DAS
06442,DAS
06443,DAS
06447,DAS
06469,DAS
06470,DAS
06474,DAS
06475,DAS
06478,DAS
06479,DAS
06480,DAS
06481,DAS
06482,DAS
06483,DAS
06487,DAS
06488,DAS
06498,DAS
06524,DAS
06525,DAS
06612,DAS
06704,DAS
06712,DAS
06716,DAS
06749,DAS
06750,EDAS
06751,DAS
06752,EDAS
06753,EDAS
06754,EDAS
06755,EDAS
06756,EDAS
06757,EDAS
06758,EDAS
06759,DAS
06762,DAS
06763,EDAS
06776,DAS
06777,EDAS
06778,DAS
06779,DAS
06782,DAS
06783,EDAS
06784,EDAS
06785,EDAS
06786,DAS
06787,DAS
06790,DAS
06791,DAS
06793,DAS
06794,EDAS
06795,DAS
06796,EDAS
06798,DAS
06801,DAS
06812,DAS
06840,DAS
06877,DAS
06883,DAS
06896,DAS
06897,DAS
06903,DAS
07005,DAS
07045,DAS
07416,DAS
07418,DAS
07419,DAS
07421,DAS
07422,DAS
07428,DAS
07435,EDAS
07438,DAS
07439,DAS
07456,DAS
07460,EDAS
07461,DAS
07462,DAS
07465,DAS
07480,DAS
07710,DAS
07716,DAS
07717,DAS
07719,DAS
07720,DAS
07722,DAS
07727,DAS
07732,DAS
07738,DAS
07762,DAS
07803,DAS
07821,DAS
07822,DAS
07823,DAS
07825,EDAS
07826,EDAS
07827,EDAS
07830,DAS
07832,EDAS
07833,EDAS
07838,EDAS
07839,DAS
07844,EDAS
07846,DAS
07847,DAS
07848,DAS
07849,DAS
07851,EDAS
07853,DAS
07855,DAS
07856,DAS
07860,DAS
07863,EDAS
07865,EDAS
07870,DAS
07871,DAS
07875,EDAS
07879,DAS
07880,EDAS
07881,REMOTE
07882,DAS
07890,EDAS
07924,DAS
07930,DAS
07931,EDAS
07934,DAS
07935,DAS
07938,DAS
07945,DAS
07976,DAS
07977,DAS
07979,DAS
07980,DAS
08001,DAS
08004,DAS
08005,DAS
08006,EDAS
08008,DAS
08011,DAS
08014,DAS
08015,DAS
08019,EDAS
08022,DAS
08025,DAS
08037,DAS
08038,DAS
08041,EDAS
08042,DAS
08050,DAS
08064,EDAS
08067,DAS
08068,DAS
08069,DAS
08070,DAS
08072,DAS
08073,DAS
08079,DAS
08087,DAS
08088,DAS
08089,DAS
08092,DAS
08095,DAS
08098,DAS
08201,DAS
08202,DAS
08203,DAS
08204,DAS
08205,DAS
08210,DAS
08212,DAS
08213,DAS
08214,DAS
08215,DAS
08217,DAS
08219,EDAS
08220,DAS
08221,DAS
08223,DAS
08224,DAS
08225,DAS
08226,DAS
08230,DAS
08232,DAS
08240,DAS
08241,DAS
08242,DAS
08243,DAS
08245,DAS
08246,EDAS
08247,DAS
08248,DAS
08250,EDAS
08251,DAS
08252,EDAS
08260,DAS
08270,EDAS
08302,DAS
08310,DAS
08311,EDAS
08312,DAS
08313,DAS
08314,EDAS
08315,EDAS
08316,EDAS
08317,DAS
08318,DAS
08319,EDAS
08320,DAS
08321,EDAS
08322,DAS
08323,EDAS
08324,EDAS
08326,DAS
08327,EDAS
08328,DAS
08329,DAS
08330,DAS
08340,EDAS
08341,DAS
08342,DAS
08343,DAS
08344,DAS
08345,EDAS
08346,EDAS
08348,DAS
08349,REMOTE
08350,DAS
08352,DAS
08361,DAS
08402,DAS
08403,DAS
08405,DAS
08406,DAS
08501,DAS
08502,DAS
08510,DAS
08511,DAS
08514,DAS
08515,DAS
08525,DAS
08530,DAS
08533,DAS
08535,DAS
08551,DAS
08553,DAS
08554,DAS
08555,DAS
08556,DAS
08557,EDAS
08559,EDAS
08560,DAS
08562,DAS
08721,DAS
08731,DAS
08732,DAS
08735,DAS
08736,DAS
08740,DAS
08751,DAS
08752,DAS
08757,DAS
08758,DAS
08759,DAS
08802,DAS
08804,DAS
08809,DAS
08812,DAS
08823,DAS
08824,DAS
08825,DAS
08826,DAS
08827,DAS
08829,DAS
08836,DAS
08844,DAS
08848,DAS
